Reason_1,Reason_2,Reason_3,Reason_4,Month Value,Transportation Expense,Age,Body Mass Index,Education,Children,Pet,Probability,Prediction
0,0,0,1,7,289,33,30,0,2,1,0.5949106170156699,1
0,0,0,0,7,118,50,31,0,1,0,0.07441392142215732,0
0,0,0,1,7,179,38,31,0,0,0,0.24403963636453704,0
1,0,0,0,7,279,39,24,0,2,0,0.8717479819062697,1
0,0,0,1,7,289,33,30,0,2,1,0.5949106170156699,1
0,0,0,1,7,179,38,31,0,0,0,0.24403963636453704,0
0,0,0,1,7,361,28,27,0,1,4,0.49273282566361176,0
0,0,0,1,7,260,36,23,0,4,0,0.6064112550143049,1
0,0,1,0,7,155,34,25,0,2,0,0.7810279887768267,1
0,0,0,1,7,235,37,29,1,1,1,0.29640101335988095,0
1,0,0,0,7,260,36,23,0,4,0,0.916422593657451,1
1,0,0,0,7,260,36,23,0,4,0,0.916422593657451,1
1,0,0,0,7,260,36,23,0,4,0,0.916422593657451,1
1,0,0,0,7,179,38,31,0,0,0,0.6967341842615273,1
0,0,0,1,7,179,38,31,0,0,0,0.24403963636453704,0
1,0,0,0,7,246,41,23,0,0,0,0.6983545001231295,1
0,0,0,1,7,179,38,31,0,0,0,0.24403963636453704,0
0,0,1,0,7,179,38,31,0,0,0,0.7599462261671218,1
1,0,0,0,7,189,33,25,0,2,2,0.696325004087886,1
0,0,0,1,8,248,47,32,0,2,1,0.43870680160231385,0
1,0,0,0,8,330,28,25,1,0,0,0.868024210584532,1
1,0,0,0,8,179,38,31,0,0,0,0.6972281948027285,1
1,0,0,0,8,361,28,27,0,1,4,0.8738812853642679,1
0,0,0,1,8,260,36,23,0,4,0,0.6069694003295922,1
0,0,1,0,8,289,33,30,0,2,1,0.9352139801414704,1
0,0,0,1,8,361,28,27,0,1,4,0.49331748256713026,0
0,0,0,1,8,289,33,30,0,2,1,0.5954741918868335,1
0,0,0,1,8,157,29,22,0,0,0,0.1543903839931079,0
0,0,1,0,8,289,33,30,0,2,1,0.9352139801414704,1
0,0,0,1,8,179,38,31,0,0,0,0.24447141876258296,0
0,0,1,0,8,179,38,31,0,0,0,0.7603726808212791,1
0,0,1,0,8,235,48,33,0,1,5,0.666951335507552,1
0,0,0,1,8,235,37,29,1,1,1,0.2968890553720453,0
0,0,1,0,8,235,48,33,0,1,5,0.666951335507552,1
0,0,0,1,8,179,38,31,0,0,0,0.24447141876258296,0
0,0,0,1,8,361,28,27,0,1,4,0.49331748256713026,0
0,0,0,1,8,289,33,30,0,2,1,0.5954741918868335,1
1,0,0,0,8,291,32,23,0,0,0,0.8193290221734876,1
0,0,0,1,8,235,48,33,0,1,5,0.16957890999533437,0
0,0,0,1,8,260,36,23,0,4,0,0.6069694003295922,1
0,0,0,1,9,184,27,21,0,0,0,0.18895719380294929,0
0,0,0,1,9,118,37,28,0,0,0,0.13267534570217934,0
0,0,0,1,9,179,38,31,0,0,0,0.24490371762398605,0
0,0,1,0,9,235,43,38,0,1,0,0.912554016902777,1
0,0,0,1,9,155,34,25,0,2,0,0.267626598389952,0
0,0,0,1,9,118,37,28,0,0,0,0.13267534570217934,0
0,0,0,1,9,179,38,31,0,0,0,0.24490371762398605,0
0,0,0,1,9,291,40,25,0,1,1,0.3908240900899808,0
0,0,0,1,9,260,36,23,0,4,0,0.6075272664074487,1
1,0,0,0,9,291,40,25,0,1,1,0.8203326791012606,1
0,0,0,0,9,260,36,23,0,4,0,0.4080266293137426,0
0,0,0,0,9,225,28,24,0,1,2,0.13581453069163288,0
0,0,0,1,9,225,28,24,0,1,2,0.2608726268169465,0
0,0,0,1,9,118,37,28,0,0,0,0.13267534570217934,0
0,0,0,0,9,289,33,30,0,2,1,0.3964981795460014,0
0,0,0,0,9,118,50,31,0,1,0,0.07473677929079245,0
0,0,1,0,9,225,28,24,0,1,2,0.7758432664081208,1
0,0,0,1,9,179,38,31,0,0,0,0.24490371762398605,0
0,0,0,0,9,369,31,25,0,3,0,0.6471074360895908,1
0,0,0,1,9,248,47,32,0,2,1,0.43928286709452996,0
0,0,0,1,9,179,38,31,0,0,0,0.24490371762398605,0
0,0,0,1,9,260,36,23,0,4,0,0.6075272664074487,1
0,0,0,1,10,179,38,31,0,0,0,0.24533653269118702,0
0,0,0,1,10,118,37,28,0,0,0,0.13294474140946538,0
0,0,0,0,10,118,50,31,0,1,0,0.07489869065825623,0
0,0,0,1,10,179,30,19,1,0,0,0.12347807982401014,0
0,0,0,1,10,179,38,31,0,0,0,0.24533653269118702,0
0,0,0,1,10,225,28,24,0,1,2,0.2613238965723013,0
0,0,0,1,10,118,37,28,0,0,0,0.13294474140946538,0
0,0,0,1,10,225,28,24,0,1,2,0.2613238965723013,0
0,0,0,1,10,248,47,32,0,2,1,0.43985909623834024,0
0,0,0,1,10,291,40,25,0,1,1,0.39138112243110246,0
0,0,0,1,10,179,38,31,0,0,0,0.24533653269118702,0
0,0,0,1,10,225,28,24,0,1,2,0.2613238965723013,0
0,0,1,0,10,260,36,23,0,4,0,0.9383304613627919,1
1,0,0,0,10,291,40,25,0,1,1,0.820677171196142,1
0,0,0,1,10,225,28,24,0,1,2,0.2613238965723013,0
0,0,0,1,10,289,33,30,0,2,1,0.5966005852743946,1
0,0,0,1,10,361,28,27,0,1,4,0.49448684960881883,0
0,0,0,1,10,260,36,23,0,4,0,0.6080848519323928,1
0,0,0,1,11,179,38,31,0,0,0,0.2457698637031834,0
0,0,0,1,11,225,28,24,0,1,2,0.2617756704815588,0
1,0,0,0,11,179,38,31,0,0,0,0.6987074899779016,1
0,0,1,0,11,179,40,22,1,2,0,0.7108427906895225,1
0,0,0,1,11,291,40,25,0,1,1,0.3919384378928541,0
1,0,0,0,11,155,34,25,0,2,0,0.7232084797232354,1
0,0,0,1,11,189,33,25,0,2,2,0.24541120827543753,0
1,0,0,0,11,291,40,25,0,1,1,0.8210211468780946,1
0,0,0,1,11,225,28,24,0,1,2,0.2617756704815588,0
1,0,0,0,11,155,34,25,0,2,0,0.7232084797232354,1
0,0,0,1,11,225,28,24,0,1,2,0.2617756704815588,0
0,0,1,0,11,179,40,22,1,2,0,0.7108427906895225,1
1,0,0,0,11,225,28,24,0,1,2,0.7162006163619485,1
0,0,0,1,11,260,36,23,0,4,0,0.6086421555918002,1
0,0,0,1,11,248,47,32,0,2,1,0.4404354875264589,0
0,0,0,1,11,225,28,24,0,1,2,0.2617756704815588,0
1,0,0,0,11,289,33,30,0,2,1,0.9134188424040387,1
0,0,0,1,11,291,40,25,0,1,1,0.3919384378928541,0
0,0,0,1,12,248,47,32,0,2,1,0.44101203944986406,0
0,0,1,0,12,118,37,28,0,0,0,0.601699649397379,1
0,0,0,1,12,118,50,31,0,1,0,0.15446141523090579,0
0,0,0,1,12,235,37,29,1,1,1,0.29884585615016734,0
0,0,0,1,12,225,28,24,0,1,2,0.2622279481520768,0
0,0,0,1,12,260,36,23,0,4,0,0.6091991760759148,1
0,0,1,0,12,118,37,28,0,0,0,0.601699649397379,1
0,0,0,1,12,361,28,27,0,1,4,0.49565627697125747,0
0,0,0,1,12,225,28,24,0,1,2,0.2622279481520768,0
0,0,0,1,12,260,36,23,0,4,0,0.6091991760759148,1
0,0,0,1,12,225,28,24,0,1,2,0.2622279481520768,0
0,0,0,1,12,361,28,27,0,1,4,0.49565627697125747,0
0,0,0,1,12,118,37,28,0,0,0,0.1334849222452229,0
0,0,1,0,12,246,41,23,0,0,0,0.7634630392956548,1
0,0,0,1,12,225,28,24,0,1,2,0.2622279481520768,0
0,0,0,1,1,225,28,24,0,1,2,0.257280664235412,0
0,0,1,0,1,118,37,28,0,0,0,0.5955174548050656,1
0,0,0,1,1,118,37,28,0,0,0,0.13053679279549488,0
0,0,1,0,1,155,34,25,0,2,0,0.7786182985139962,1
0,0,0,1,1,225,28,24,0,1,2,0.257280664235412,0
0,0,0,1,1,184,27,21,0,0,0,0.18610611132978203,0
0,0,0,1,1,225,28,24,0,1,2,0.257280664235412,0
0,0,0,1,1,225,28,24,0,1,2,0.257280664235412,0
0,0,0,1,1,118,37,28,0,0,0,0.13053679279549488,0
0,0,0,1,1,225,28,24,0,1,2,0.257280664235412,0
0,0,0,1,1,118,37,28,0,0,0,0.13053679279549488,0
0,0,0,1,1,118,37,28,0,0,0,0.13053679279549488,0
0,0,0,1,1,118,37,28,0,0,0,0.13053679279549488,0
0,0,0,1,1,118,37,28,0,0,0,0.13053679279549488,0
0,0,0,1,1,118,37,28,0,0,0,0.13053679279549488,0
0,0,0,1,1,118,37,28,0,0,0,0.13053679279549488,0
0,0,1,0,1,179,30,19,1,0,0,0.5749541365817032,1
0,0,1,0,1,289,33,30,0,2,1,0.9342148269794561,1
0,0,0,1,1,118,37,28,0,0,0,0.13053679279549488,0
0,0,0,1,1,184,27,21,0,0,0,0.18610611132978203,0
0,0,0,1,1,118,37,28,0,0,0,0.13053679279549488,0
0,0,0,1,1,118,37,28,0,0,0,0.13053679279549488,0
0,0,0,1,1,225,28,24,0,1,2,0.257280664235412,0
0,0,0,1,1,289,33,30,0,2,1,0.591523960035842,1
0,0,0,1,2,184,27,21,0,0,0,0.1864606738721056,0
1,0,0,0,2,246,41,23,0,0,0,0.6958850961939101,1
1,0,0,0,2,179,38,31,0,0,0,0.6942573230187306,1
0,0,0,1,2,155,34,25,0,2,0,0.26442956926763994,0
0,0,0,1,2,189,33,25,0,2,2,0.24153367494651634,0
0,0,0,1,2,260,36,23,0,4,0,0.6036163861168277,1
0,0,0,1,2,289,33,30,0,2,1,0.5920890159272841,1
1,0,0,0,2,388,50,24,0,0,0,0.879688388814135,1
1,0,0,0,2,388,50,24,0,0,0,0.879688388814135,1
0,0,0,1,2,225,28,24,0,1,2,0.2577278870592423,0
0,0,0,1,2,225,28,24,0,1,2,0.2577278870592423,0
0,0,0,1,2,179,30,19,1,0,0,0.12146701299637355,0
0,0,0,1,2,184,27,21,0,0,0,0.1864606738721056,0
0,0,0,1,2,225,28,24,0,1,2,0.2577278870592423,0
0,0,1,0,2,330,28,25,1,0,0,0.8993621236924226,1
0,0,0,1,2,330,28,25,1,0,0,0.47679519655036007,0
0,0,0,1,2,225,28,24,0,1,2,0.2577278870592423,0
0,0,1,0,2,189,33,25,0,2,2,0.7574507088955224,1
0,0,0,1,3,291,32,23,0,0,0,0.38643090374890904,0
0,0,1,0,3,260,36,23,0,4,0,0.9373761532587085,1
0,0,1,0,3,157,29,22,0,0,0,0.6389417855563065,1
0,1,0,0,3,179,40,22,1,2,0,0.21761050007589314,0
0,0,0,1,3,291,40,25,0,1,1,0.387487914565445,0
1,0,0,0,3,260,36,23,0,4,0,0.915703173622306,1
1,0,0,0,3,179,30,19,1,0,0,0.49654528262484493,0
1,0,0,0,3,248,47,32,0,2,1,0.8461013715683501,1
1,0,0,0,3,260,36,23,0,4,0,0.915703173622306,1
1,0,0,0,3,179,40,22,1,2,0,0.6364936464027312,1
1,0,0,0,3,155,34,25,0,2,0,0.7194470152410889,1
0,0,0,1,3,260,36,23,0,4,0,0.6041759077878407,1
1,0,0,0,3,155,34,25,0,2,0,0.7194470152410889,1
1,0,0,0,3,289,33,30,0,2,1,0.9119274598773576,1
1,0,0,0,3,179,40,22,1,2,0,0.6364936464027312,1
0,0,0,1,3,260,36,23,0,4,0,0.6041759077878407,1
0,0,0,1,3,225,28,24,0,1,2,0.2581756170477615,0
1,0,0,0,3,279,39,24,0,2,0,0.8706982683453107,1
1,0,0,0,3,179,38,31,0,0,0,0.6947536006330693,1
0,0,0,1,3,225,28,24,0,1,2,0.2581756170477615,0
1,0,0,0,3,225,28,24,0,1,2,0.7123817924966322,1
1,0,0,0,3,179,30,19,1,0,0,0.49654528262484493,0
1,0,0,0,3,225,28,24,0,1,2,0.7123817924966322,1
1,0,0,0,3,225,28,24,0,1,2,0.7123817924966322,1
1,0,0,0,3,179,38,31,0,0,0,0.6947536006330693,1
1,0,0,0,3,279,39,24,0,2,0,0.8706982683453107,1
0,0,0,1,3,225,28,24,0,1,2,0.2581756170477615,0
1,0,0,0,3,248,47,32,0,2,1,0.8461013715683501,1
0,0,0,1,3,225,28,24,0,1,2,0.2581756170477615,0
0,0,0,1,4,291,40,25,0,1,1,0.3880432208373636,0
0,0,0,1,4,225,28,24,0,1,2,0.2586238538372525,0
0,0,0,1,4,155,34,25,0,2,0,0.26534050554527744,0
1,0,0,0,4,246,41,23,0,0,0,0.696874223720849,1
0,0,0,1,4,155,34,25,0,2,0,0.26534050554527744,0
0,0,0,1,4,225,28,24,0,1,2,0.2586238538372525,0
0,0,0,1,4,260,36,23,0,4,0,0.6047351568412909,1
1,0,0,0,4,179,38,31,0,0,0,0.695249426300077,1
0,0,0,1,4,118,50,31,0,1,0,0.15203325471533172,0
0,0,0,1,4,291,40,25,0,1,1,0.3880432208373636,0
1,0,0,0,4,246,41,23,0,0,0,0.696874223720849,1
0,0,0,1,4,291,40,25,0,1,1,0.3880432208373636,0
0,0,0,1,4,248,47,32,0,2,1,0.43640420623349685,0
0,0,1,0,4,260,36,23,0,4,0,0.9375133219530236,1
0,0,1,0,4,289,33,30,0,2,1,0.9346447776362163,1
1,0,0,0,4,155,34,25,0,2,0,0.719918900363072,1
0,0,1,0,4,378,36,21,0,2,4,0.8912824933938701,1
1,0,0,0,4,289,33,30,0,2,1,0.9121151442031038,1
1,0,0,0,4,235,37,29,1,1,1,0.748558697117375,1
0,0,0,0,4,235,48,33,0,1,5,0.08263818622975515,0
1,0,0,0,5,289,33,30,0,2,1,0.9123024670327862,1
0,0,0,1,5,155,34,25,0,2,0,0.26579672472204185,0
0,0,0,1,5,155,34,25,0,2,0,0.26579672472204185,0
0,0,1,0,5,179,38,31,0,0,0,0.7590917603372249,1
0,0,1,0,5,225,28,24,0,1,2,0.7742119036141932,1
1,0,0,0,5,184,27,21,0,0,0,0.6215884576639968,1
0,0,0,1,5,155,34,25,0,2,0,0.26579672472204185,0
1,0,0,0,5,179,38,31,0,0,0,0.6957447992822847,1
1,0,0,0,5,289,33,30,0,2,1,0.9123024670327862,1
0,0,0,0,5,279,39,24,0,2,0,0.297404791803718,0
0,0,0,0,5,330,28,25,1,0,0,0.2900939310854415,0
0,0,0,0,5,378,36,21,0,2,4,0.27173166173560315,0
0,0,0,0,5,388,50,24,0,0,0,0.31539592912571524,0
1,0,0,0,5,179,38,31,0,0,0,0.6957447992822847,1
1,0,0,0,5,118,50,31,0,1,0,0.5612039098671336,1
0,0,0,1,5,361,28,27,0,1,4,0.491563573083628,0
0,0,1,0,6,246,41,23,0,0,0,0.7609192239787483,1
0,0,0,1,6,361,28,27,0,1,4,0.4921481886363556,0
1,0,0,0,6,246,41,23,0,0,0,0.6978615309343144,1
0,0,0,1,6,291,40,25,0,1,1,0.38915470484591114,0
1,0,0,0,6,246,41,23,0,0,0,0.6978615309343144,1
1,0,0,0,6,179,38,31,0,0,0,0.696239718846044,1
0,0,0,1,6,155,34,25,0,2,0,0.266253444025369,0
1,0,0,0,6,246,41,23,0,0,0,0.6978615309343144,1
1,0,0,0,6,118,50,31,0,1,0,0.5617798359027325,1
1,0,0,0,6,235,37,29,1,1,1,0.7494381905928347,1
0,0,0,1,6,118,50,31,0,1,0,0.15263734214552843,0
1,0,0,0,6,118,50,31,0,1,0,0.5617798359027325,1
0,0,0,1,6,378,36,21,0,2,4,0.45649621810619745,0
1,0,0,0,6,179,38,31,0,0,0,0.696239718846044,1
0,0,0,1,6,289,49,36,0,0,2,0.37152619218538163,0
0,0,0,1,6,225,28,24,0,1,2,0.2595218463462786,0
0,0,1,0,7,155,34,25,0,2,0,0.7810279887768267,1
1,0,0,0,7,118,50,31,0,1,0,0.5623555955104257,1
1,0,0,0,7,118,37,28,0,0,0,0.5200557735024569,1
0,0,0,1,7,118,37,28,0,0,0,0.13213794143176913,0
0,0,0,1,7,330,28,25,1,0,0,0.4797135115546669,0
0,0,1,0,7,179,30,19,1,0,0,0.5783802533100548,1
0,0,0,1,7,155,34,25,0,2,0,0.26671066302661944,0
1,0,0,0,7,330,28,25,1,0,0,0.8677560187384521,1
1,0,0,0,7,330,28,25,1,0,0,0.8677560187384521,1
0,0,0,1,7,157,29,22,0,0,0,0.15408525416894095,0
0,0,0,1,7,361,28,27,0,1,4,0.49273282566361176,0
0,0,0,1,7,289,33,30,0,2,1,0.5949106170156699,1
0,0,0,1,7,179,38,31,0,0,0,0.24403963636453704,0
0,0,1,0,7,289,33,30,0,2,1,0.935072113570431,1
0,0,1,0,7,289,33,30,0,2,1,0.935072113570431,1
0,0,0,0,7,260,36,23,0,4,0,0.40689714890459583,0
0,0,1,0,8,289,33,30,0,2,1,0.9352139801414704,1
0,0,1,0,8,157,29,22,0,0,0,0.6416354536219769,1
0,0,0,1,8,289,33,30,0,2,1,0.5954741918868335,1
0,0,1,0,8,228,58,22,0,2,1,0.704707091506473,1
1,0,0,0,8,300,43,25,0,2,1,0.8630676854200834,1
1,0,0,0,8,300,43,25,0,2,1,0.8630676854200834,1
0,0,0,1,8,260,36,23,0,4,0,0.6069694003295922,1
0,0,0,1,8,289,33,30,0,2,1,0.5954741918868335,1
0,0,0,1,8,248,47,32,0,2,1,0.43870680160231385,0
1,0,0,0,8,268,33,25,1,0,0,0.7617642989832473,1
0,0,0,1,8,179,30,19,1,0,0,0.12297264729552479,0
1,0,0,0,8,118,50,31,0,1,0,0.5629311871879498,1
0,0,0,1,8,248,47,32,0,2,1,0.43870680160231385,0
0,0,0,1,8,235,37,29,1,1,1,0.2968890553720453,0
0,0,0,1,8,118,50,31,0,1,0,0.15324339607630946,0
0,0,1,0,8,235,37,29,1,1,1,0.8054774060636213,1
1,0,0,0,8,361,28,27,0,1,4,0.8738812853642679,1
1,0,0,0,8,184,27,21,0,0,0,0.6232376148191604,1
1,0,0,0,9,179,38,31,0,0,0,0.6977217497474627,1
0,0,0,1,9,179,38,31,0,0,0,0.24490371762398605,0
0,0,1,0,9,289,33,30,0,2,1,0.9353555581655774,1
0,0,0,0,9,235,43,38,0,1,0,0.3215023421865103,0
1,0,0,0,9,246,41,23,0,0,0,0.6993390660976359,1
0,0,0,1,9,291,40,25,0,1,1,0.3908240900899808,0
0,0,0,0,9,231,39,35,0,2,2,0.26377893691638943,0
0,0,0,0,9,291,32,23,0,0,0,0.22142791063776612,0
1,0,0,0,9,179,38,31,0,0,0,0.6977217497474627,1
1,0,0,0,9,246,41,23,0,0,0,0.6993390660976359,1
0,0,0,1,9,179,38,31,0,0,0,0.24490371762398605,0
0,0,0,1,9,291,40,25,0,1,1,0.3908240900899808,0
0,0,0,1,9,260,36,23,0,4,0,0.6075272664074487,1
0,0,0,1,9,235,43,38,0,1,0,0.5155407437285865,1
0,0,0,1,9,118,50,31,0,1,0,0.15354716140342403,0
0,0,0,0,9,235,43,38,0,1,0,0.3215023421865103,0
0,0,0,1,9,291,40,25,0,1,1,0.3908240900899808,0
1,0,0,0,9,291,40,25,0,1,1,0.8203326791012606,1
1,0,0,0,9,179,38,31,0,0,0,0.6977217497474627,1
0,0,0,1,10,289,33,30,0,2,1,0.5966005852743946,1
0,0,0,1,10,235,37,29,1,1,1,0.2978665305737418,0
0,0,0,1,10,289,33,30,0,2,1,0.5966005852743946,1
0,0,0,1,10,289,33,30,0,2,1,0.5966005852743946,1
0,0,0,0,10,118,50,31,0,1,0,0.07489869065825623,0
0,0,0,0,10,248,47,32,0,2,1,0.2590728274080501,0
1,0,0,0,10,179,30,19,1,0,0,0.5006386226407589,1
1,0,0,0,10,118,37,28,0,0,0,0.5218070095662253,1
0,0,0,1,10,369,31,25,0,3,0,0.804984967818925,1
0,0,0,1,10,179,38,31,0,0,0,0.24533653269118702,0
1,0,0,0,10,179,30,19,1,0,0,0.5006386226407589,1
0,0,0,0,10,235,43,38,0,1,0,0.3220127993501612,0
0,0,1,0,10,289,33,30,0,2,1,0.9354968481360564,1
0,0,0,1,10,260,36,23,0,4,0,0.6080848519323928,1
0,0,0,0,10,235,43,38,0,1,0,0.3220127993501612,0
0,0,0,1,10,235,43,38,0,1,0,0.5161249280665398,1
0,0,0,1,10,235,43,38,0,1,0,0.5161249280665398,1
0,0,0,1,10,118,50,31,0,1,0,0.1538514194614984,0
0,0,0,1,10,291,40,25,0,1,1,0.39138112243110246,0
0,0,0,1,10,179,30,19,1,0,0,0.12347807982401014,0
0,0,0,1,10,118,50,31,0,1,0,0.1538514194614984,0
1,0,0,0,10,361,28,27,0,1,4,0.8743959779002893,1
0,0,0,0,10,260,36,23,0,4,0,0.40859173485257244,0
0,0,0,0,10,291,40,25,0,1,1,0.2226015479005063,0
0,0,0,0,10,157,29,22,0,0,0,0.07551158111994048,0
1,0,0,0,10,179,30,19,1,0,0,0.5006386226407589,1
1,0,0,0,10,179,30,19,1,0,0,0.5006386226407589,1
0,0,0,1,10,118,50,31,0,1,0,0.1538514194614984,0
1,0,0,0,11,118,37,28,0,0,0,0.5223906379523855,1
0,0,0,1,11,248,47,32,0,2,1,0.4404354875264589,0
1,0,0,0,11,179,38,31,0,0,0,0.6987074899779016,1
0,0,0,1,11,260,36,23,0,4,0,0.6086421555918002,1
0,0,0,1,11,291,40,25,0,1,1,0.3919384378928541,0
1,0,0,0,11,378,36,21,0,2,4,0.8581114044203415,1
1,0,0,0,11,155,34,25,0,2,0,0.7232084797232354,1
0,0,0,1,11,235,43,38,0,1,0,0.5167090683381759,1
0,0,0,0,11,330,28,25,1,0,0,0.2929926797604124,0
0,0,1,0,11,235,37,29,1,1,1,0.8065745372787574,1
1,0,0,0,11,118,37,28,0,0,0,0.5223906379523855,1
0,0,0,1,11,235,37,29,1,1,1,0.29835596240665596,0
0,0,0,1,11,179,38,31,0,0,0,0.2457698637031834,0
1,0,0,0,11,246,41,23,0,0,0,0.7003217974895187,1
1,0,0,0,11,291,40,25,0,1,1,0.8210211468780946,1
1,0,0,0,11,246,41,23,0,0,0,0.7003217974895187,1
0,0,0,1,11,179,38,31,0,0,0,0.2457698637031834,0
1,0,0,0,11,260,36,23,0,4,0,0.9171364294988065,1
0,1,0,0,11,260,36,23,0,4,0,0.6374323606443917,1
0,0,0,0,11,378,36,21,0,2,4,0.274517878930987,0
0,0,0,0,11,279,39,24,0,2,0,0.30034568658718297,0
0,0,0,1,11,179,38,31,0,0,0,0.2457698637031834,0
1,0,0,0,12,225,28,24,0,1,2,0.716675811524177,1
0,0,0,1,12,179,38,31,0,0,0,0.2462037103955238,0
0,0,0,1,12,179,38,31,0,0,0,0.2462037103955238,0
0,0,0,1,12,235,37,29,1,1,1,0.29884585615016734,0
0,0,0,1,12,118,50,31,0,1,0,0.15446141523090579,0
0,0,0,1,12,260,36,23,0,4,0,0.6091991760759148,1
1,0,0,0,12,246,41,23,0,0,0,0.7008124734643878,1
0,0,0,1,12,179,38,31,0,0,0,0.2462037103955238,0
0,0,0,1,12,179,38,31,0,0,0,0.2462037103955238,0
